2025/06/27 14:39:44 Loading cert from /workdir/cert.pem
2025/06/27 14:39:44 Loading key from /workdir/key.pem
2025/06/27 14:39:44 Opened archive /workdir/archive.wprgo
2025/06/27 14:39:44 Loading script from deterministic.js
2025/06/27 14:39:44 Use Ctrl-C to exit.
2025/06/27 14:39:44 Starting server on http://127.0.0.1:8080
2025/06/27 14:39:44 Starting server on https://127.0.0.1:8081
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2024/wp-content/uploads/sites/13/2019/09/logoIFIP-150x150.gif): serving 200, 87007 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2019/09/ieee-comsoc-300x116.png): serving 200, 18011 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2025/02/isoc-300x104.png): serving 200, 20649 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2025/02/IPinfo-300x98.jpg): serving 200, 604009 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2019/09/cropped-cropped-cropped-tma-conference-logo_1-32x32.png): serving 200, 2103 bytes
2025/06/27 14:42:12 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/06/27 14:42:13 ScriptInjector(https://tma.ifip.org/2025/accepted-posters/): succesfully injected
2025/06/27 14:42:13 ServeHTTP(https://tma.ifip.org/2025/accepted-posters/): serving 200, 11847 bytes
2025/06/27 14:42:13 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/06/27 14:42:13 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/06/27 14:42:13 ServeHTTP(https://tma.ifip.org/2025/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/06/27 14:42:13 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
